id,year,race,te,rsyn,rsyp,gfyn,gfyp,gsyn,gsyp,gmtsyn,gmtsyp,cen,cep,nlen,nlep
1,2000,Asian American,53,47,88.7,42,79.2,43,81.1,45,84.9,0,0.0,8,15.1
2,2000,African American,57,53,93.0,44,77.2,46,80.7,46,80.7,0,0.0,11,19.3
3,2000,Hispanic,24,21,87.5,17,70.8,17,70.8,17,70.8,0,0.0,7,29.2
4,2000,Native American,9,6,66.7,6,66.7,7,77.8,7,77.8,0,0.0,2,22.2
5,2000,White,589,527,89.5,499,84.7,508,86.2,513,87.1,0,0.0,76,12.9
6,2000,Foreign,42,39,92.9,37,88.1,38,90.5,38,90.5,0,0.0,4,9.5
7,2000,Total,774,693,89.5,645,83.3,659,85.1,666,86.0,0,0.0,108,14.0
8,2001,Asian American,42,37,88.1,36,85.7,36,85.7,36,85.7,0,0.0,6,14.3
9,2001,African American,65,57,87.7,48,73.8,52,80.0,52,80.0,0,0.0,13,20.0
10,2001,Hispanic,32,31,96.9,24,75.0,24,75.0,25,78.1,0,0.0,7,21.9
11,2001,Native American,4,3,75.0,3,75.0,3,75.0,3,75.0,0,0.0,1,25.0
12,2001,White,512,455,88.9,414,80.9,419,81.8,422,82.4,0,0.0,90,17.6
13,2001,Foreign,45,41,91.1,40,88.9,41,91.1,41,91.1,0,0.0,4,8.9
14,2001,Total,700,624,89.1,565,80.7,575,82.1,579,82.7,0,0.0,121,17.3
15,2002,Asian American,55,47,85.5,43,78.2,44,80.0,45,81.8,0,0.0,10,18.2
16,2002,African American,36,34,94.4,28,77.8,29,80.6,31,86.1,0,0.0,5,13.9
17,2002,Hispanic,37,34,91.9,31,83.8,31,83.8,32,86.5,0,0.0,5,13.5
18,2002,Native American,9,7,77.8,6,66.7,6,66.7,6,66.7,0,0.0,3,33.3
19,2002,White,574,517,90.1,473,82.4,481,83.8,485,84.5,0,0.0,89,15.5
20,2002,Foreign,36,34,94.4,30,83.3,31,86.1,32,88.9,0,0.0,4,11.1
21,2002,Total,747,673,90.1,611,81.8,622,83.3,631,84.5,0,0.0,116,15.5
22,2003,Asian American,70,60,85.7,55,78.6,58,82.9,59,84.3,0,0.0,11,15.7
23,2003,African American,50,44,88.0,36,72.0,37,74.0,38,76.0,0,0.0,12,24.0
24,2003,Hispanic,43,40,93.0,33,76.7,33,76.7,34,79.1,0,0.0,9,20.9
25,2003,Native American,7,6,85.7,4,57.1,4,57.1,4,57.1,0,0.0,3,42.9
26,2003,White,551,517,93.8,481,87.3,487,88.4,490,88.9,0,0.0,61,11.1
27,2003,Foreign,43,42,97.7,36,83.7,36,83.7,37,86.0,0,0.0,6,14.0
28,2003,Total,764,709,92.8,645,84.4,655,85.7,662,86.6,0,0.0,102,13.4
29,2004,Asian American,69,61,88.4,58,84.1,60,87.0,60,87.0,0,0.0,9,13.0
30,2004,African American,37,35,94.6,34,91.9,34,91.9,34,91.9,0,0.0,3,8.1
31,2004,Hispanic,35,30,85.7,27,77.1,27,77.1,28,80.0,0,0.0,7,20.0
32,2004,Native American,8,7,87.5,4,50.0,4,50.0,4,50.0,0,0.0,4,50.0
33,2004,White,560,516,92.1,483,86.3,494,88.2,494,88.2,0,0.0,66,11.8
34,2004,Foreign,31,30,96.8,24,77.4,26,83.9,26,83.9,0,0.0,5,16.1
35,2004,Total,740,679,91.8,630,85.1,645,87.2,646,87.3,0,0.0,94,12.7
36,2005,Asian American,56,52,92.9,49,87.5,49,87.5,49,87.5,0,0.0,7,12.5
37,2005,African American,34,31,91.2,28,82.4,28,82.4,28,82.4,0,0.0,6,17.6
38,2005,Hispanic,32,29,90.6,25,78.1,26,81.3,26,81.3,0,0.0,6,18.8
39,2005,Native American,4,3,75.0,4,100.0,4,100.0,4,100.0,0,0.0,0,0.0
40,2005,White,573,532,92.8,495,86.4,502,87.6,503,87.8,0,0.0,70,12.2
41,2005,Foreign,42,37,88.1,34,81.0,36,85.7,36,85.7,0,0.0,6,14.3
42,2005,Total,741,684,92.3,635,85.7,645,87.0,646,87.2,0,0.0,95,12.8
43,2006,Asian American,49,47,95.9,43,87.8,43,87.8,43,87.8,0,0.0,6,12.2
44,2006,African American,41,38,92.7,34,82.9,34,82.9,34,82.9,0,0.0,7,17.1
45,2006,Hispanic,38,35,92.1,28,73.7,28,73.7,28,73.7,0,0.0,10,26.3
46,2006,Native American,4,3,75.0,2,50.0,2,50.0,2,50.0,0,0.0,2,50.0
47,2006,White,552,501,90.8,461,83.5,472,85.5,473,85.7,0,0.0,79,14.3
48,2006,Foreign,34,34,100.0,28,82.4,29,85.3,29,85.3,0,0.0,5,14.7
49,2006,Total,718,658,91.6,596,83.0,608,84.7,609,84.8,0,0.0,109,15.2
50,2007,Asian American,62,58,93.5,55,88.7,56,90.3,56,90.3,0,0.0,6,9.7
51,2007,African American,58,55,94.8,47,81.0,48,82.8,48,82.8,0,0.0,10,17.2
52,2007,Hispanic,35,32,91.4,30,85.7,31,88.6,31,88.6,0,0.0,4,11.4
53,2007,Native American,4,3,75.0,3,75.0,3,75.0,3,75.0,0,0.0,1,25.0
54,2007,White,533,500,93.8,470,88.2,474,88.9,478,89.7,1,0.2,54,10.1
55,2007,Foreign,49,47,95.9,41,83.7,42,85.7,42,85.7,0,0.0,7,14.3
56,2007,Total,741,695,93.8,646,87.2,654,88.3,658,88.8,1,0.1,82,11.1
57,2008,Asian American,50,48,96.0,42,84.0,42,84.0,-,-,1,2.0,7,14.0
58,2008,African American,52,52,100.0,47,90.4,47,90.4,-,-,1,1.9,4,7.7
59,2008,Hispanic,52,45,86.5,43,82.7,43,82.7,-,-,0,0.0,9,17.3
60,2008,Native American,4,4,100.0,4,100.0,4,100.0,-,-,0,0.0,0,0.0
61,2008,White,566,519,91.7,488,86.2,496,87.6,-,-,0,0.0,70,12.4
62,2008,Foreign,42,42,100.0,34,81.0,38,90.5,-,-,0,0.0,4,9.5
63,2008,Total,766,710,92.7,658,85.9,670,87.5,-,-,2,0.3,94,12.3
64,2009,Asian American,54,52,96.3,48,88.9,-,-,-,-,1,1.9,5,9.3
65,2009,African American,47,45,95.7,38,80.9,-,-,-,-,2,4.3,7,14.9
66,2009,Hispanic,36,34,94.4,33,91.7,-,-,-,-,0,0.0,3,8.3
67,2009,Native American,5,5,100.0,3,60.0,-,-,-,-,1,20.0,1,20.0
68,2009,White,610,571,93.6,538,88.2,-,-,-,-,3,0.5,69,11.3
69,2009,Foreign,54,46,85.2,36,66.7,-,-,-,-,5,9.3,13,24.1
70,2009,Total,806,753,93.4,696,86.4,-,-,-,-,12,1.5,98,12.2
71,2010,Asian American,58,56,96.6,-,-,-,-,-,-,12,20.7,7,12.1
72,2010,African American,76,70,92.1,-,-,-,-,-,-,8,10.5,17,22.4
73,2010,Hispanic,58,48,82.8,-,-,-,-,-,-,11,19.0,12,20.7
74,2010,Native American,3,3,100.0,-,-,-,-,-,-,1,33.3,1,33.3
75,2010,White,550,516,93.8,-,-,-,-,-,-,60,10.9,77,14.0
76,2010,Foreign,36,35,97.2,-,-,-,-,-,-,5,13.9,9,25.0
77,2010,Total,781,728,93.2,-,-,-,-,-,-,97,12.4,123,15.7
78,2011,Asian American,48,45,93.8,-,-,-,-,-,-,42,87.5,4,8.3
79,2011,African American,61,58,95.1,-,-,-,-,-,-,51,83.6,10,16.4
80,2011,Hispanic,44,35,79.5,-,-,-,-,-,-,34,77.3,10,22.7
81,2011,Native American,5,2,40.0,-,-,-,-,-,-,2,40.0,3,60.0
82,2011,White,543,508,93.6,-,-,-,-,-,-,471,86.7,64,11.8
83,2011,Foreign,51,48,94.1,-,-,-,-,-,-,44,86.3,6,11.8
84,2011,Total,752,696,92.6,-,-,-,-,-,-,644,85.6,97,12.9
85,2012,Asian American,58,56,96.6,-,-,-,-,-,-,54,93.1,4,6.9
86,2012,African American,63,56,88.9,-,-,-,-,-,-,53,84.1,10,15.9
87,2012,Hispanic,56,48,85.7,-,-,-,-,-,-,46,82.1,10,17.9
88,2012,Native American,4,3,75.0,-,-,-,-,-,-,2,50.0,2,50.0
89,2012,White,531,499,94.0,-,-,-,-,-,-,482,90.8,49,9.2
90,2012,Foreign,52,49,94.2,-,-,-,-,-,-,44,84.6,5,9.6
91,2012,Total,764,711,93.1,-,-,-,-,-,-,681,89.1,80,10.5
92,2013,Asian American,60,58,96.7,-,-,-,-,-,-,-,-,-,-
